[2026-01-17T05:54:25.416Z] attempted=484 connected=483 active=483 closed=0 aborted=0 errors=0 chunks=483
[2026-01-17T05:54:55.416Z] attempted=968 connected=967 active=967 closed=0 aborted=0 errors=0 chunks=1457
[2026-01-17T05:55:25.416Z] attempted=1452 connected=1452 active=1451 closed=1 aborted=0 errors=1 chunks=2918
[2026-01-17T05:55:55.417Z] attempted=1937 connected=1936 active=1933 closed=3 aborted=0 errors=3 chunks=4860
[2026-01-17T05:56:25.416Z] attempted=2421 connected=2420 active=2416 closed=4 aborted=0 errors=4 chunks=7284
[2026-01-17T05:56:55.416Z] attempted=2904 connected=2904 active=2899 closed=5 aborted=0 errors=5 chunks=10192
[2026-01-17T05:57:25.417Z] attempted=3388 connected=3387 active=3382 closed=5 aborted=0 errors=5 chunks=13581
[2026-01-17T05:57:55.417Z] attempted=3871 connected=3871 active=3866 closed=5 aborted=0 errors=5 chunks=17454
[2026-01-17T05:58:25.417Z] attempted=4354 connected=4353 active=4348 closed=5 aborted=0 errors=5 chunks=21809
[2026-01-17T05:58:55.418Z] attempted=4843 connected=4455 active=4062 closed=393 aborted=0 errors=393 chunks=26265
Ramp complete. Holding 5000 connections for 600s...
[2026-01-17T05:59:25.418Z] attempted=5000 connected=4455 active=3905 closed=550 aborted=0 errors=550 chunks=30715
[2026-01-17T05:59:55.418Z] attempted=5000 connected=4455 active=3905 closed=550 aborted=0 errors=550 chunks=35165
[2026-01-17T06:00:25.418Z] attempted=5000 connected=4455 active=3905 closed=550 aborted=0 errors=550 chunks=39615
[2026-01-17T06:00:55.419Z] attempted=5000 connected=4455 active=3905 closed=550 aborted=0 errors=550 chunks=44065
[2026-01-17T06:01:25.418Z] attempted=5000 connected=4455 active=3905 closed=550 aborted=0 errors=550 chunks=48515
[2026-01-17T06:01:55.418Z] attempted=5000 connected=4455 active=3905 closed=550 aborted=0 errors=550 chunks=52965
[2026-01-17T06:02:25.418Z] attempted=5000 connected=4455 active=3904 closed=551 aborted=0 errors=551 chunks=57414
[2026-01-17T06:02:55.418Z] attempted=5000 connected=4455 active=3904 closed=551 aborted=0 errors=551 chunks=61864
[2026-01-17T06:03:25.419Z] attempted=5000 connected=4455 active=3904 closed=551 aborted=0 errors=551 chunks=66306
[2026-01-17T06:03:55.420Z] attempted=5000 connected=4455 active=3904 closed=551 aborted=0 errors=551 chunks=70745
[2026-01-17T06:04:25.421Z] attempted=5000 connected=4455 active=3898 closed=557 aborted=0 errors=557 chunks=75188
[2026-01-17T06:04:55.421Z] attempted=5000 connected=4455 active=3898 closed=557 aborted=0 errors=557 chunks=79626
[2026-01-17T06:05:25.420Z] attempted=5000 connected=4455 active=3898 closed=557 aborted=0 errors=557 chunks=84036
[2026-01-17T06:05:55.421Z] attempted=5000 connected=4455 active=3898 closed=557 aborted=0 errors=557 chunks=88422
[2026-01-17T06:06:25.421Z] attempted=5000 connected=4455 active=3898 closed=557 aborted=0 errors=557 chunks=92888
[2026-01-17T06:06:55.422Z] attempted=5000 connected=4455 active=3898 closed=557 aborted=0 errors=557 chunks=97347
[2026-01-17T06:07:25.423Z] attempted=5000 connected=4455 active=3898 closed=557 aborted=0 errors=557 chunks=101604
[2026-01-17T06:07:55.426Z] attempted=5000 connected=4455 active=3898 closed=557 aborted=0 errors=557 chunks=106151
[2026-01-17T06:08:25.426Z] attempted=5000 connected=4455 active=3898 closed=557 aborted=0 errors=557 chunks=110546
[2026-01-17T06:08:55.427Z] attempted=5000 connected=4455 active=3898 closed=557 aborted=0 errors=557 chunks=114881
Closing connections...
[2026-01-17T06:09:05.947Z] attempted=5000 connected=4455 active=0 closed=5000 aborted=4443 errors=557 chunks=118991
